13938	14059
12841	13005
12957	13106
13279	13445
12801	12965
7915	8081
10987	11162
11384	11552
11263	11430
3095	3264
3889	4030
5631	5784
7002	7181
3591	3768
13914	14043
8521	8688
256	366
1413	1578
1219	1382
3283	3450
5081	5226
8211	8379
7355	7524
111	185
13980	14102
13755	13901
8870	9050
724	864
12355	12523
1038	1179
5207	5350
10928	11077
6290	6443
2485	2647
3566	3741
11511	11671
4833	5015
8994	9172
657	805
14125	14217
4316	4492
8495	8640
166	257
4290	4466
4106	4276
3144	3287
5275	5445
9062	9215
9478	9648
6978	7153
753	920
4962	5141
322	428
326	457
9465	9627
4299	4477
5878	6021
9457	9598
7822	7991
8322	8498
2922	3075
9915	10085
8480	8648
1854	2024
9563	9737
6645	6809
1412	1584
10220	10392
853	998
8059	8221
3287	3447
7927	8091
10275	10443
8233	8382
12535	12716
13092	13271
13954	14057
9465	9606
2985	3153
9823	9969
2867	3020
8429	8608
2260	2413
11762	11938
7009	7183
1696	1864
6008	6175
5515	5696
2927	3108
232	278
6396	6542
13581	13713
8639	8785
13837	13977
13561	13714
774	938
6803	6952
12778	12941
7380	7521
14339	14382
5671	5850
6797	6946
8221	8389
9208	9374
1217	1374
4531	4691
5676	5829
4499	4663
9116	9299
6170	6343
3423	3592
8792	8955
13411	13569
3855	4015
8206	8380
12993	13142
2004	2178
7840	7985
5231	5394
14057	14142
9752	9926
2425	2570
8622	8765
9483	9646
12273	12445
12285	12434
11817	11989
11853	12031
284	400
1277	1437
3463	3640
14157	14228
1953	2122
7145	7290
6557	6724
6373	6549
583	713
3184	3350
10916	11065
9668	9851
4910	5086
9954	10127
7107	7277
12374	12546
1287	1449
8600	8764
1208	1346
4387	4553
9439	9580
11892	12038
11364	11526
13724	13876
4410	4579
13488	13644
13019	13168
5455	5625
13544	13697
10755	10921
6511	6656
748	911
1718	1884
8407	8589
6209	6356
2755	2927
9604	9774
10259	10427
5039	5206
14087	14172
10066	10207
1461	1637
9760	9932
291	411
5789	5955
14019	14130
13824	13947
11765	11918
14268	14322
10846	10984
1430	1601
6662	6803
8280	8457
371	501
7275	7435
10526	10696
1314	1482
750	913
13210	13386
9305	9470
8969	9152
10095	10262
14177	14248
805	969
7247	7414
3441	3617
11687	11863
1193	1354
13247	13420
10159	10325
554	703
2938	3091
12863	13004
8900	9070
14342	14386
8355	8528
6736	6899
11454	11618
10383	10559
5838	6006
500	637
318	444
10413	10592
8039	8180
11465	11629
2200	2373
2419	2591
6706	6869
2707	2856
4075	4224
1638	1805
11510	11651
2085	2266
3024	3169
11182	11361
12867	13033
633	736
11864	12017
11444	11608
13220	13396
5485	5658
4464	4635
7192	7360
13656	13815
6350	6503
10630	10798
9311	9476
11315	11483
854	1019
12298	12473
8699	8840
7786	7954
2594	2735
10266	10415
4436	4606
5574	5727
5476	5646
5641	5816
3896	4062
10537	10707
8060	8220
1177	1341
13055	13227
5649	5802
13310	13470
14075	14182
14273	14336
6969	7145
5840	5985
1151	1309
9701	9877
10275	10445
10566	10711
11178	11359
2214	2392
11365	11508
9268	9439
7210	7378
13428	13593
12634	12798
4061	4210
3638	3814
12129	12295
10189	10357
12484	12659
3089	3257
1886	2027
2843	3024
3537	3713
7020	7196
6157	6328
1761	1924
12740	12905
10359	10535
14212	14289
9314	9486
4813	4962
8049	8190
12859	13000
4844	4991
3814	3982
11651	11800
9274	9442
5630	5803
5208	5354
9877	10022
2495	2658
1943	2081
12334	12502
9491	9659
6547	6713
8047	8188
5994	6135
1758	1923
1823	1985
7824	7988
1360	1504
2661	2838
13003	13173
9060	9239
196	297
3936	4104
12658	12803
12190	12352
8290	8444
9526	9675
14095	14200
14371	14393
4044	4222
815	979
1325	1495
8189	8363
10854	11022
4752	4901
5082	5251
1088	1252
3164	3324
6401	6572
14049	14151
10875	11048
10825	10985
7204	7349
11160	11341
9052	9226
8100	8259
7151	7296
10301	10473
3932	4098
10336	10513
8283	8467
10440	10614
12529	12682
9254	9399
6758	6931
5153	5328
1409	1582
6904	7083
5551	5734
3034	3201
3844	4006
7218	7363
1048	1214
4576	4748
11296	11466
4274	4453
7769	7938
12206	12366
9912	10079
4313	4489
9597	9771
11157	11335
2723	2891
13410	13568
11811	11964
2887	3040
11797	11950
756	894
9694	9847
3381	3553
836	1004
7202	7347
12599	12767
5709	5878
8252	8401
11866	12042
13296	13463
12635	12799
9115	9296
12903	13067
431	552
3456	3605
3946	4108
975	1122
161	254
7301	7468
832	977
9432	9573
11168	11347
7821	7989
8258	8437
6099	6271
256	365
139	227
12573	12719
3708	3872
2236	2412
3094	3262
689	849
5760	5924
12866	13028
1506	1674
10158	10317
3979	4120
14281	14343
1237	1375
1611	1774
2457	2627
8465	8632
3822	3987
8446	8620
6117	6266
4826	4998
2811	2992
2712	2883
4683	4848
376	502
7412	7573
13699	13856
6120	6269
11016	11198
7442	7610
2342	2508
4757	4934
5528	5705
3403	3575
259	319
2063	2212
66	137
12722	12887
4763	4912
12402	12549
13039	13188
2062	2211
6987	7140
1354	1520
4256	4428
1178	1344
5727	5896
4637	4797
4516	4681
1921	2062
3352	3527
9270	9415
12386	12563
1302	1471
11739	11916
3266	3431
13657	13790
13247	13418
12682	12827
6133	6282
10905	11085
8760	8922
10467	10643
6151	6319
13129	13308
4376	4546
10300	10449
10531	10699
2704	2878
6231	6410
10680	10823
3758	3933
793	920
7348	7512
13739	13893
7165	7329
2366	2533
9499	9672
2408	2576
7580	7750
373	502
575	705
11683	11832
7008	7180
6573	6716
578	731
2210	2382
13839	13979
7847	8011
3197	3357
11889	12056
1096	1258
817	962
1127	1285
3625	3778
11212	11358
900	1067
10441	10594
7438	7606
9519	9699
11979	12152
3031	3176
2531	2695
